sector,portfolio_id,assets,connectivity,coint_rank,lag_order,eigenvalue_1,eigenvalue_2,eigenvalue_3,half_life_days,max_abs_zscore,pct_within_2sigma,weight_EL,weight_KMB,weight_KO,weight_KR,weight_CLX,weight_HSY,weight_CTRA,weight_NEE,weight_NOV,weight_PSX,weight_FSLR,weight_COP,weight_FANG,weight_OXY,weight_JPM,weight_MET,weight_PGR,weight_TRV,weight_USB,weight_PYPL,weight_RF,weight_TFC,weight_GILD,weight_HCA,weight_LH,weight_SYK,weight_BDX,weight_EW,weight_ALK,weight_CMI,weight_DAL,weight_LUV,weight_DOV,weight_ETN,weight_PCAR,weight_WM,weight_AMCR,weight_CCK,weight_CRH,weight_X,weight_ECL,weight_RYN,weight_VMC,weight_FCX,weight_BRX,weight_IRM,weight_SKT,weight_WPC,weight_PSA,weight_EQR,weight_GOOG,weight_ORCL,weight_TXN,weight_UBER,weight_GOOGL,weight_INTC,weight_CMS,weight_D,weight_PPL,weight_WEC,weight_AEE,weight_EVRG,weight_PEG,weight_ETR,weight_SO
consumer_staples,CON_001,EL + KMB + KO + KR,0.8333333333333334,4,1,0.004345475610192337,0.002774332004656251,0.002113808764212838,7.550120043396825,3.5482610942792485,83.7052889024763,-0.10076758643828321,0.6389624939101635,1.0,-0.8116592019763661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consumer_staples,CON_002,CLX + EL + KMB + KR,0.8333333333333334,1,1,0.005213578630480961,0.002498241495163222,0.001718871401183639,2.17391729111995,4.583460812492127,84.0721491898502,-0.039599456620582806,1.0,,-0.8298194272579017,-0.26388272837161003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consumer_staples,CON_003,CLX + HSY + KMB + KR,0.8333333333333334,1,1,0.00557922753953115,0.001922471262510583,0.0015282733308736706,2.5174055326663787,3.7158508153009775,84.28615102415164,,-0.8798999394961674,,1.0,0.2255466585838834,-0.06997146246853027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy,ENE_001,CTRA + NEE + NOV + PSX,0.8333333333333334,2,1,0.01962961796809436,0.015030541855837982,0.007466360199447737,1.402377694503892,2.2092773390113942,63.059701492537314,,,,,,,-0.31537605949020575,-0.35293606121868965,1.0,-0.4211988522075074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy,ENE_002,CTRA + FSLR + NEE + NOV + PSX,0.7,1,1,0.020995458205447667,0.015231420937808974,0.009357547671609609,1.6271500706414779,2.4644277844029547,61.605476042314876,,,,,,,-0.1685352606814021,-0.29535045481799926,1.0,-0.434155043327929,-0.03550106239552395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy,ENE_003,COP + CTRA + FANG + OXY,0.6666666666666666,4,1,0.017563437623789084,0.013239835574732559,0.009066014981845413,0.9949036621706744,2.8360646017140843,62.60112009956441,,,,,,,1.0,,,,,0.3529630949964449,-0.0268748644077349,-0.6060287598702633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
financials,FIN_001,JPM + MET + PGR + TRV,0.8333333333333334,1,1,0.005110466551090162,0.002756500910371146,0.0015542895794287447,6.810279180774747,2.945242175502578,86.68602873738918,,,,,,,,,,,,,,,-0.3007697507715144,1.0,-0.11863585322287473,-0.45446011914348944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
financials,FIN_002,MET + PGR + TRV + USB,0.8333333333333334,1,1,0.005198082363796487,0.0020499978545450047,0.000998147965816391,4.514192278288395,3.6692235796647377,85.1115866707429,,,,,,,,,,,,,,,,1.0,0.046197003776898705,-0.5666126417524706,-0.48194273537488186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
financials,FIN_003,PYPL + RF + TFC + TRV,0.8333333333333334,1,1,0.004819990838748912,0.0030212662472587854,0.0018390020400851721,3.765327131520707,4.049581767859171,83.19828772358967,,,,,,,,,,,,,,,,,,0.015364776328260103,,0.004980712180150115,1.0,-0.5261876359430578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health_care,HEA_001,GILD + HCA + LH + SYK,1.0,4,1,0.004291884302680176,0.0025054954537298128,0.0020883017341517796,3.8262624479306213,5.393248096846545,85.00229322733527,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.03767469580827584,-0.11902256676931601,0.14057956526498847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
